,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
1072,214441,029/050,039/050,068/100,--,--,--,60,04,A,08,32
1073,214442,032/050,028/050,060/100,--,--,--,68,04,A,08,32
1074,214443,027/050,033/050,060/100,--,--,--,68,04,A,08,32
1075,214444,034/050,034/050,068/100,--,--,--,68,01,A,08,08
1076,214445,034/050,034/050,068/100,--,--,--,85,02,O,10,20
1077,214446,--,--,--,023/025,028/050,--,89,01,O,10,10
1078,214447,--,--,--,024/025,040/050,--,88,01,O,10,10
1079,214448,--,--,--,024/025,043/050,--,PP,00,P,00,00
1080,214449,--,--,--,022/025,--,--,PP,00,P,00,00
1081,202054A,--,--,--,PP,--,--,42,04,P,04,16
1082,210250,--,--,--,PP,--,--,57,04,B+,07,28
1083,214441,022/050,20$/050,042/100,--,--,--,42,04,P,04,16
1084,214442,027/050,030/050,057/100,--,--,--,49,04,C,05,20
1085,214443,021/050,021/050,042/100,--,--,--,70,04,A+,09,36
1086,214444,023/050,026/050,049/100,--,--,--,69,01,A,08,08
1087,214445,035/050,035/050,070/100,--,--,--,72,02,A+,09,18
1088,214446,--,--,--,020/025,032/050,--,73,01,A+,09,09
1089,214447,--,--,--,019/025,035/050,--,76,01,A+,09,09
1090,214448,--,--,--,020/025,035/050,--,80,01,O,10,10
1091,214449,--,--,--,019/025,--,--,52,03,B,06,18
1092,207003,--,--,--,020/025,--,--,41,04,P,04,16
1093,214450,021/050,031/050,052/100,--,--,--,53,04,B,06,24
1094,214451,020/050,021/050,041/100,--,--,--,67,04,A,08,32
1095,214452,019/050,034/050,053/100,--,--,--,66,02,A,08,16
1096,214453,032/050,035/050,067/100,--,--,--,57,02,B+,07,14
1097,214454,--,--,--,020/025,030/050,--,76,01,A+,09,09
1098,214455,--,--,--,021/025,022/050,--,PP,00,P,00,00
1099,214456,--,--,--,019/025,038/050,--,67,04,A,08,32
1100,214458,--,--,--,PP,--,--,63,04,A,08,32
1101,214441,033/050,034/050,067/100,--,--,--,68,04,A,08,32
1102,214442,033/050,030/050,063/100,--,--,--,63,04,A,08,32
1103,214443,034/050,034/050,068/100,--,--,--,54,04,B,06,24
